sector_name,stock_code,kr_stock_name,date_column,closing_price
건설,000720,현대건설,2021-01-04,37216
건설,000720,현대건설,2021-01-05,39016
건설,000720,현대건설,2021-01-06,38773
건설,000720,현대건설,2021-01-07,39454
건설,000720,현대건설,2021-01-08,39892
건설,000720,현대건설,2021-01-11,42908
건설,000720,현대건설,2021-01-12,44368
건설,000720,현대건설,2021-01-13,43249
건설,000720,현대건설,2021-01-14,43541
건설,000720,현대건설,2021-01-15,41643
건설,000720,현대건설,2021-01-18,41886
건설,000720,현대건설,2021-01-19,43930
건설,000720,현대건설,2021-01-20,43930
건설,000720,현대건설,2021-01-21,43589
건설,000720,현대건설,2021-01-22,43200
건설,000720,현대건설,2021-01-25,43784
건설,000720,현대건설,2021-01-26,42811
건설,000720,현대건설,2021-01-27,42081
건설,000720,현대건설,2021-01-28,41059
건설,000720,현대건설,2021-01-29,39162
건설,000720,현대건설,2021-02-01,42324
건설,000720,현대건설,2021-02-02,42081
건설,000720,현대건설,2021-02-03,43638
건설,000720,현대건설,2021-02-04,41984
건설,000720,현대건설,2021-02-05,41303
건설,000720,현대건설,2021-02-08,41497
건설,000720,현대건설,2021-02-09,41741
건설,000720,현대건설,2021-02-10,41595
건설,000720,현대건설,2021-02-15,41886
건설,000720,현대건설,2021-02-16,41838
건설,000720,현대건설,2021-02-17,41157
건설,000720,현대건설,2021-02-18,40135
건설,000720,현대건설,2021-02-19,40865
건설,000720,현대건설,2021-02-22,40281
건설,000720,현대건설,2021-02-23,40719
건설,000720,현대건설,2021-02-24,39357
건설,000720,현대건설,2021-02-25,40427
건설,000720,현대건설,2021-02-26,38724
건설,000720,현대건설,2021-03-02,38919
건설,000720,현대건설,2021-03-03,39162
건설,000720,현대건설,2021-03-04,38822
건설,000720,현대건설,2021-03-05,37995
건설,000720,현대건설,2021-03-08,38286
건설,000720,현대건설,2021-03-09,39114
건설,000720,현대건설,2021-03-10,38286
건설,000720,현대건설,2021-03-11,38724
건설,000720,현대건설,2021-03-12,40670
건설,000720,현대건설,2021-03-15,41595
건설,000720,현대건설,2021-03-16,41643
건설,000720,현대건설,2021-03-17,41546
건설,000720,현대건설,2021-03-18,41351
건설,000720,현대건설,2021-03-19,41059
건설,000720,현대건설,2021-03-22,41789
건설,000720,현대건설,2021-03-23,42130
건설,000720,현대건설,2021-03-24,41838
건설,000720,현대건설,2021-03-25,42470
건설,000720,현대건설,2021-03-26,42859
건설,000720,현대건설,2021-03-29,42908
건설,000720,현대건설,2021-03-30,42616
건설,000720,현대건설,2021-03-31,42859
건설,000720,현대건설,2021-04-01,42373
건설,000720,현대건설,2021-04-02,42373
건설,000720,현대건설,2021-04-05,43686
건설,000720,현대건설,2021-04-06,43589
건설,000720,현대건설,2021-04-07,43784
건설,000720,현대건설,2021-04-08,45146
건설,000720,현대건설,2021-04-09,45195
건설,000720,현대건설,2021-04-12,44514
건설,000720,현대건설,2021-04-13,44173
건설,000720,현대건설,2021-04-14,44903
건설,000720,현대건설,2021-04-15,45146
건설,000720,현대건설,2021-04-16,45876
건설,000720,현대건설,2021-04-19,46557
건설,000720,현대건설,2021-04-20,48114
건설,000720,현대건설,2021-04-21,48162
건설,000720,현대건설,2021-04-22,47676
건설,000720,현대건설,2021-04-23,48454
건설,000720,현대건설,2021-04-26,50011
건설,000720,현대건설,2021-04-27,50595
건설,000720,현대건설,2021-04-28,51276
건설,000720,현대건설,2021-04-29,52832
건설,000720,현대건설,2021-04-30,49038
건설,000720,현대건설,2021-05-03,48843
건설,000720,현대건설,2021-05-04,49135
건설,000720,현대건설,2021-05-06,50886
건설,000720,현대건설,2021-05-07,52151
건설,000720,현대건설,2021-05-10,52249
건설,000720,현대건설,2021-05-11,52638
건설,000720,현대건설,2021-05-12,50692
건설,000720,현대건설,2021-05-13,50108
건설,000720,현대건설,2021-05-14,50497
건설,000720,현대건설,2021-05-17,51178
건설,000720,현대건설,2021-05-18,52346
건설,000720,현대건설,2021-05-20,51762
건설,000720,현대건설,2021-05-21,51178
건설,000720,현대건설,2021-05-24,51762
건설,000720,현대건설,2021-05-25,50692
건설,000720,현대건설,2021-05-26,51470
건설,000720,현대건설,2021-05-27,54778
건설,000720,현대건설,2021-05-28,54584
건설,000720,현대건설,2021-05-31,55849
건설,000720,현대건설,2021-06-01,55459
건설,000720,현대건설,2021-06-02,55849
건설,000720,현대건설,2021-06-03,54778
건설,000720,현대건설,2021-06-04,54584
건설,000720,현대건설,2021-06-07,54778
건설,000720,현대건설,2021-06-08,56238
건설,000720,현대건설,2021-06-09,55362
건설,000720,현대건설,2021-06-10,54292
건설,000720,현대건설,2021-06-11,54097
건설,000720,현대건설,2021-06-14,54195
건설,000720,현대건설,2021-06-15,52832
건설,000720,현대건설,2021-06-16,52930
건설,000720,현대건설,2021-06-17,53222
건설,000720,현대건설,2021-06-18,53319
건설,000720,현대건설,2021-06-21,53416
건설,000720,현대건설,2021-06-22,53805
건설,000720,현대건설,2021-06-23,52638
건설,000720,현대건설,2021-06-24,52735
건설,000720,현대건설,2021-06-25,54195
건설,000720,현대건설,2021-06-28,56627
건설,000720,현대건설,2021-06-29,56432
건설,000720,현대건설,2021-06-30,56724
건설,000720,현대건설,2021-07-01,56238
건설,000720,현대건설,2021-07-02,58378
건설,000720,현대건설,2021-07-05,58573
건설,000720,현대건설,2021-07-06,58281
건설,000720,현대건설,2021-07-07,57600
건설,000720,현대건설,2021-07-08,56141
건설,000720,현대건설,2021-07-09,55557
건설,000720,현대건설,2021-07-12,56141
건설,000720,현대건설,2021-07-13,56919
건설,000720,현대건설,2021-07-14,56141
건설,000720,현대건설,2021-07-15,56043
건설,000720,현대건설,2021-07-16,56822
건설,000720,현대건설,2021-07-19,56043
건설,000720,현대건설,2021-07-20,55946
건설,000720,현대건설,2021-07-21,55265
건설,000720,현대건설,2021-07-22,55751
건설,000720,현대건설,2021-07-23,53805
건설,000720,현대건설,2021-07-26,52541
건설,000720,현대건설,2021-07-27,53222
건설,000720,현대건설,2021-07-28,53903
건설,000720,현대건설,2021-07-29,53416
건설,000720,현대건설,2021-07-30,53222
건설,000720,현대건설,2021-08-02,52930
건설,000720,현대건설,2021-08-03,53222
건설,000720,현대건설,2021-08-04,53027
건설,000720,현대건설,2021-08-05,52541
건설,000720,현대건설,2021-08-06,53027
건설,000720,현대건설,2021-08-09,52249
건설,000720,현대건설,2021-08-10,51276
건설,000720,현대건설,2021-08-11,51178
건설,000720,현대건설,2021-08-12,51178
건설,000720,현대건설,2021-08-13,50497
건설,000720,현대건설,2021-08-17,49038
건설,000720,현대건설,2021-08-18,50011
건설,000720,현대건설,2021-08-19,47724
건설,000720,현대건설,2021-08-20,47092
건설,000720,현대건설,2021-08-23,47773
건설,000720,현대건설,2021-08-24,49330
건설,000720,현대건설,2021-08-25,50205
건설,000720,현대건설,2021-08-26,50789
건설,000720,현대건설,2021-08-27,50400
건설,000720,현대건설,2021-08-30,51859
건설,000720,현대건설,2021-08-31,54000
건설,000720,현대건설,2021-09-01,54000
건설,000720,현대건설,2021-09-02,54000
건설,000720,현대건설,2021-09-03,55000
건설,000720,현대건설,2021-09-06,54500
건설,000720,현대건설,2021-09-07,54000
건설,000720,현대건설,2021-09-08,53500
건설,000720,현대건설,2021-09-09,52600
건설,000720,현대건설,2021-09-10,53500
건설,000720,현대건설,2021-09-13,52600
건설,000720,현대건설,2021-09-14,53900
